,title,date,url
38,SW전공트랙 이수 신청 안내(~5/27),22.05.04,https://sw7up.cbnu.ac.kr/community/notice/627227c49309d276591afcac
39,LG CNS 취업연계 현장실습(인턴십) 모집 안내,22.05.10,https://sw7up.cbnu.ac.kr/community/notice/6279e2149309d276591c03b2
40,2022년 여름방학 해외교육(ICCAS 2022) ★추가 모집★ 안내(~5/13),22.05.11,https://sw7up.cbnu.ac.kr/community/notice/627b09a69309d276591c3e77
41,(홍보) 제5회 국민대학교 자율주행경진대회 참가 신청 안내,22.05.12,https://sw7up.cbnu.ac.kr/community/notice/627c4ee79309d276591c6da2
42,SW중심대학사업단 글로벌 기업 취업 특강 안내(5/19),22.05.12,https://sw7up.cbnu.ac.kr/community/notice/627cad5f9309d276591c9e9a
43,2022년 국제공동 산학프로젝트 3차 추가모집 공고,22.05.12,https://sw7up.cbnu.ac.kr/community/notice/627cc3bd9309d276591caabb
44,SW중심대학 공동해커톤 2022 참가자 선발 결과 안내,22.05.13,https://sw7up.cbnu.ac.kr/community/notice/627ddffd9309d276591ce26f
45,제 17회 상반기 TOPCIT 정기평가 안내(5/21),22.05.13,https://sw7up.cbnu.ac.kr/community/notice/627dee989309d276591ce746
46,LG CNS 취업연계 현장실습(인턴십) 설명회 개최,22.05.13,https://sw7up.cbnu.ac.kr/community/notice/627dfad19309d276591ceda2
47,2022년 SW중심대학사업단  1차 Solve-up 프로그래밍 경진대회 모집(~5/25),22.05.13,https://sw7up.cbnu.ac.kr/community/notice/627dfb629309d276591cee03
48,SW중심대학사업단 ICCAS 2022 해외교육 최종 합격자 안내,22.05.18,https://sw7up.cbnu.ac.kr/community/notice/6284487c6d5d6237c18de1cb
49,2022년 국제공동 산학프로젝트 3차 추가 참여 학생 모집 공고,22.05.24,https://sw7up.cbnu.ac.kr/community/notice/628c31797754e025231b6e17
50,2022년도 충청권 LG CNS 취업연계 현장실습(인턴십) 추천학생 선발전형 결과 안내,22.05.24,https://sw7up.cbnu.ac.kr/community/notice/628c851d7754e025231b9cb0
51,2022 SW중심대학사업단  'NEW YORK 2027 미리 가본 미래' UCC 경진대회(~6/3),22.05.25,https://sw7up.cbnu.ac.kr/community/notice/628d94657754e025231be044
52,2022년 산학협력공동프로젝트 연구보조원 추가 모집,22.05.25,https://sw7up.cbnu.ac.kr/community/notice/628dc7127754e025231bfa12
